TaskID,"Status (open, ongoing, done)",User Story ID,Acceptance Criteria,Taakomschrijving,Prioriteit,Story Points,Technische instructies,Commentaar
1,Ongoing,Dichtstbijzijnde publieke WC of urinoir vinden,Gegevens ophalen van datasets bij het laden van de homepagina,Maak een functie om een fetch uit te voeren naar de toilet datasets,Need,2,"Gebruik de Fetch API om gegevens op te halen van opendata.brussels. Voeg foutafhandeling toe voor netwerkproblemen. Sla de gegevens op in een variabele voor verder gebruik.", 
2,Done,,,"Voeg foutafhandeling toe voor netwerkproblemen tijdens de fetch",Need,1,"Controleer de HTTP-statuscode en toon een foutmelding als de fetch mislukt.", 
3,Done,,,"Sla de opgehaalde gegevens op in een variabele voor verder gebruik",Need,1,"Gebruik een globale variabele of een state management oplossing om de gegevens op te slaan.", 
4,Open,,Fallback ter beschikking hebben als de datasets niet beschikbaar zijn,Maak een kopie van de datasets voor offline gebruik,Nice,2,"Sla een lokale kopie van de datasets op en laad deze als fallback bij netwerkproblemen.", 
5,Open,,,"Controleer bij het laden van de pagina of de datasets online beschikbaar zijn. Gebruik de fallback als dat niet het geval is",Nice,1,"Implementeer een controlemechanisme voor netwerkstatus en dataset-beschikbaarheid.", 
6,Done,,Locatiegegevens opvragen,Maak een functie die de Geolocation API aanroept,Need,2,"Gebruik de HTML5 Geolocation API. Voeg foutafhandeling toe voor geweigerde toegang of ongeldige gegevens.", 
7,Done,,,"Maak een knop ""Zoek WC’s in mijn buurt"" die de net genoemde functie aanroept",Need,1,,
8,Done,,,"Voeg foutafhandeling toe voor geweigerde toegang of ongeldige locatiegegevens",Need,1,"Controleer of de eindgebruiker toestemming heeft gegeven en valideer de ontvangen coördinaten.", 
9,Ongoing,,,"Toon een melding als locatie niet gedeeld wordt",Nice,1,"Gebruik een modaal of een toastmelding om de eindgebruiker te informeren.", 
10,Done,,"Locatiegegevens opslaan in ""localStorage""",Maak een functie die locatiegegevens opslaat in `localStorage`,Nice,1,"Gebruik `localStorage` onder 'userPreferences' > 'currentLocation'. Valideer gegevens voordat ze worden opgeslagen.", 
11,Done,,,"Voeg een fallback toe voor standaardwaarden als er geen locatiegegevens beschikbaar zijn",Need,1,"Controleer of er gegevens beschikbaar zijn in `localStorage`. Gebruik standaardwaarden als fallback.", 
12,Done,,Relatieve afstand en wandeltijd tussen de eindgebruiker en locaties berekenen,Maak een functie die op basis van de gedeelde coördinaten van de eindgebruiker en de toilet locaties de afstand en een wandeltijd berekening maakt voor elke toilet locatie,Need,2,Gebruik de Haversine-formule of een bibliotheek zoals Geolib om afstanden te berekenen.,
13,Open,,,Test de implementatie met bekende coördinaten,Nice,1,Vergelijk de berekende afstanden met verwachte waarden om de nauwkeurigheid te controleren.,
14,Open,,,Voeg foutafhandeling toe voor ongeldige locatiegegevens,Need,1,"Als een bepaalde toilet locatie ongeldige locatiegegevens heeft, dan negeren we deze in de berekeningen. Als de locatiegegevens van de eindgebruiker ongeldig zijn laten we dit weten via een modaal en een error log, we gaan dan ook geen afstand- of tijdsberekeningen maken.",
15,Done,,,"Sla de berekeningen voor iedere locatie op in de desbetreffende locatie object onder ""distance"" en ""walk_time"" respectievelijk",Need,1,,
16,Done,,Afstanden visueel weergeven via staafdiagrammen,"Maak een functie die voor elke toilet locatie waarvoor er succesvol een afstand en wandeltijd berekening is gemaakt een staafdiagram toont in de tabel van de sectie met de id ""distance-bar-chart-container""",Nice,2,"Controleer welke toilet locatie de grootste afstand van de eindgebruiker heeft, deel dit getal door 100 en bewaar het resultaat in een variabele genaamd ""cellCount"". Maak een tabel element voor elke toilet locatie en maak het aantal cellen gedefinieerd door ""cellCount"" in een enkele rij in elke tabel element. Voor elke toilet locatie delen we de afstand door 100 en bewaren we dit in een variabelen genaamd ""length"". Gebruik een for loop om van 0 tot ""length"" te herhalen, zolang we herhalen geven we de volgende cell de klasse ""filled-chart-cell"".",
17,Open,,,Controleer of de gegevens correct worden geformatteerd voordat ze worden weergegeven,Need,1,Valideer de gegevens en zorg voor consistente eenheden (bijvoorbeeld meters en minuten).,
18,Done,,,"Maak een sectie element met de unieke id ""distance-bar-chart-container""",Nice,1,,
19,Done,,,"Maak een tabel element in de sectie met de id ""distance-bar-chart-container""",Nice,1,,
20,Done,,De eindgebruiker moet een zoekterm kunnen invoeren om locaties te vinden,Maak een zoekbalk met een invoerveld,Need,1,"Gebruik HTML en CSS om een zoekbalk te maken. Voeg duidelijke labels toe.", 
21,Done,,,"Maak een functie toe om zoekresultaten te filteren op basis van de ingevoerde zoekterm",Need,2,"Gebruik JavaScript om de zoekterm te vergelijken met de beschikbare locaties. Toon alleen overeenkomende resultaten.", 
22,Open,,,"Toon een foutmelding als er geen resultaten overeenkomen met de zoekterm",Nice,1,"Gebruik een visuele indicator zoals een rode rand rond de zoekbalk en een foutmelding onder het veld.", 
23,Open,,Dropdown menu met overeenkomende locaties bij het ingeven van een zoekterm,"Toon een dropdown menu bij het invoeren van een zoekterm, onder de zoekbalk, waarin locaties die overeenkomen met de zoekterm verschijnen",Nice,2,Gebruik HTML en CSS om een dropdown te maken.,
24,Open,,,"Roep de functie aan om de zoekresultaten te filteren op basis van de ingevoerde zoekterm onder de acceptance criteria ""De eindgebruiker moet een zoekterm kunnen invoeren om locaties te vinden"". Gebruik de functie om een lijst te maken van al de zoekresultaten die overeenkomen met de huidige zoekterm en toon deze lijst onderaan de zoekbalk in de dropdown",Nice,1,,
25,Done,,De eindgebruiker moet een knop kunnen klikken om locaties te vinden,"Maak een knop ""Zoek""",Need,1,Gebruik HTML en CSS om een zoekknop te maken.,
26,Done,,,"Roep de functie aan die bedoeld is om fetches uit te voeren naar de datasets genoemd in ""Dichtstbijzijnde publieke WC of urinoir vinden"" onder de acceptance criteria ""De website moet een fetch uitvoeren naar de toilet datasets bij het laden van de homepagina""",Need,1,,
27,Open,Taal veranderen als eindgebruiker,De eindgebruiker moet de taal van de website kunnen veranderen,Maak een functie om de website taal te veranderen van het Nederlands naar het Frans en vice versa,Nice,2,"Gebruik een vertaalsoftware zoals Sonix, Text United of Pairaphrase.", 
28,Open,,,Maak een knop om de net genoemde functie op te roepen om de taal te wijzigen naar het Nederlands,Nice,1,Gebruik HTML en CSS om de knop te maken. Voeg duidelijke labels toe voor de taal.,
29,Open,,,Maak een knop om de net genoemde functie op te roepen om de taal te wijzigen naar het Frans,Nice,1,Gebruik HTML en CSS om de knop te maken. Voeg duidelijke labels toe voor de taal.,
30,Open,,,"Maak een functie om de voorkeurstaal op te slaan in `localStorage`",Nice,1,"Gebruik `localStorage` onder 'userPreferences' > 'language' om de voorkeurstaal op te slaan.", 
31,Open,,,"Voeg een fallback toe naar een standaardtaal als er geen voorkeurstaal is",Nice,1,"Controleer of er een taal is opgeslagen in `localStorage`. Gebruik een standaardtaal als fallback.", 
32,Ongoing,Gebruikersvoorkeuren opslaan en toepassen op website bezoek,De website moet gebruikersvoorkeuren toepassen bij het laden van een pagina,Maak een functie die voorkeuren toepast bij het laden van de pagina,Nice,2,"Gebruik een eventlistener voor 'DOMContentLoaded' om opgeslagen voorkeuren uit `localStorage` toe te passen.", 
33,Open,,,"Voeg foutafhandeling toe voor ontbrekende gegevens",Nice,1,"Controleer of de benodigde gegevens beschikbaar zijn in `localStorage`. Toon een melding als gegevens ontbreken.", 
,,Afstand en wandeltijd tussen eindgebruiker en toilet locaties weten,Locatie gegevens verwerken,"Roep de functie aan om de afstand en wandeltijd tussen de eindgebruiker en toilet locaties te berekenen genoemd in ""Dichtstbijzijnde publieke WC of urinoir vinden"" onder ""De website moet de relatieve afstand en wandeltijd tussen de eindgebruiker en locaties berekenen""",Need,1,,
,,Op een visuele manier zien wat de afstand en wandeltijd zijn tussen de eindgebruiker en toilet locaties,,,,,,
,,I'm feeling dangerous,De eindgebruiker moet extra locaties zoals honden-WC's en parken kunnen zien,Pas de zoekfunctionaliteit aan om extra categorieën toe te voegen,,2,Voeg een visuele indicator toe voor deze categorieën. Zorg voor een duidelijke uitleg van de functie.,
,,Thema wijzigen,De eindgebruiker moet het thema van de website kunnen veranderen,Implementeer een toggle-knop die de CSS-regel 'color-scheme' aanpast,,1,Sla de voorkeur op in `localStorage`. Zorg voor een visuele indicator van het actieve thema.,
,,Favorieten markeren,De eindgebruiker moet locaties als favoriet kunnen markeren,Voeg een knop toe met een eventlistener die locaties toevoegt aan een lijst in `localStorage`,,2,"Gebruik `localStorage` onder 'userPreferences' > 'locations' > 'favourites'. Voeg een visuele indicator toe.", 
,,,,"Maak een dynamische lijst in een zij-menu die favorieten ophaalt uit `localStorage`",,2,"Voeg een verwijderfunctie toe. Zorg voor een duidelijke scheiding tussen favorieten en andere locaties.", 
,,Compatibiliteit testen,De website moet compatibel zijn met verschillende browsers en apparaten,Gebruik tools zoals BrowserStack om compatibiliteit te testen,,3,"Voeg polyfills toe voor oudere browsers. Documenteer bekende beperkingen.", 
,,Prestatie optimalisatie,De website moet grote datasets efficiënt kunnen laden,Implementeer lazy loading en paginering voor grote datasets,,3,"Gebruik caching waar mogelijk. Test de prestaties met verschillende dataset-groottes.", 
,,Kwaliteitscontrole,De website moet regelmatig gecontroleerd worden op fouten,Maak een checklist in een gedeeld document,,2,"Voeg items toe voor elke user story en functionaliteit. Controleer regelmatig de voortgang.", 
,,Internet fallback,De website moet werken zonder internetverbinding,Implementeer een melding voor offline modus,,1,"Voeg een fallback toe om eerder opgehaalde gegevens uit `localStorage` te gebruiken. Test de functionaliteit zonder internetverbinding.", 
,,Technische problemen oplossen,Het team moet voorbereid zijn op technische problemen,Documenteer alternatieve hardwareopties en zorg voor toegang tot gedeelde bestanden,,1,"Gebruik versiebeheer zoals Git om samenwerking te vergemakkelijken.", 
